Index,AccuracyScore,FluencyScore,CompletenessScore,PronScore
0,2.0,1.0,4.0,7.0
1,3.0,6.0,12.0,8.0
2,7.0,7.0,10.0,2.8
3,5.0,3.0,8.0,9.0
4,10.0,14.0,6.0,11.0
5,15.0,10.0,8.0,9.0
6,19.0,12.0,14.0,11.0
7,17.0,18.0,8.0,17.0
8,20.0,14.0,16.0,20.0
9,17.0,20.0,19.0,18.0
10,22.0,18.0,22.0,26.0
11,16.0,15.0,26.0,16.0
12,11.0,21.0,24.0,13.0
13,15.0,25.0,20.0,16.0
14,10.0,23.0,27.0,22.0
15,15.0,20.0,23.0,15.0
16,18.0,26.0,17.0,13.0
17,24.0,21.0,14.0,16.0
18,14.0,18.0,13.0,14.0
19,10.0,14.0,7.0,20.0
20,7.0,21.0,14.0,23.0
21,17.0,17.0,19.0,29.0
22,13.0,13.0,30.0,23.0
23,15.0,11.0,23.0,33.0
24,22.0,13.0,29.0,23.0
25,17.0,16.0,38.0,17.0
26,10.0,21.0,28.0,25.0
27,4.0,27.0,22.0,20.0
28,9.0,21.0,18.0,31.0
29,5.0,15.0,12.0,22.0
30,14.0,20.0,16.0,29.0
31,18.0,18.0,9.0,24.0
32,22.0,24.0,7.0,31.0
33,17.0,30.0,4.0,21.0
34,12.0,25.0,11.0,28.0
35,7.0,18.0,15.0,35.0
36,9.0,12.0,10.0,30.0
37,18.0,5.0,15.0,37.0
38,14.0,9.0,11.0,28.0
39,22.0,4.0,19.0,25.0
40,26.0,10.0,22.0,15.0
41,22.0,16.0,15.0,22.0
42,27.0,22.0,24.0,16.0
43,23.0,29.0,19.0,9.0
44,32.0,27.0,26.0,15.0
45,25.0,34.0,22.0,20.0
46,30.0,29.0,16.0,28.0
47,38.0,26.0,21.0,20.0
48,35.0,23.0,26.0,25.0
49,32.0,20.0,32.0,17.0
50,24.0,24.0,29.0,26.0
51,32.0,21.0,35.0,20.0
52,27.0,26.0,32.0,30.0
53,21.0,29.0,27.0,36.0
54,31.0,34.0,32.0,40.0
55,36.0,31.0,29.0,45.0
56,42.0,25.0,34.0,35.0
57,37.0,23.0,41.0,40.0
58,45.0,29.0,35.0,47.0
59,41.0,35.0,41.0,43.0
60,50.0,32.0,38.0,37.0
61,45.0,28.0,34.0,45.0
62,51.0,34.0,30.0,49.0
63,45.0,41.0,26.0,53.0
64,41.0,37.0,21.0,49.0
65,47.0,43.0,25.0,43.0
66,52.0,39.0,31.0,37.0
67,56.0,46.0,28.0,43.0
68,50.0,42.0,24.0,50.0
69,55.0,38.0,20.0,57.0
70,61.0,44.0,26.0,61.0
71,66.0,50.0,22.0,67.0
72,60.0,45.0,17.0,73.0
73,56.0,51.0,23.0,68.0
74,51.0,57.0,28.0,62.0
75,47.0,63.0,24.0,69.0
76,54.0,58.0,20.0,75.0
77,60.0,54.0,17.0,70.0
78,66.0,60.0,13.0,77.0
79,62.0,56.0,19.0,83.0
80,57.0,52.0,25.0,78.0
81,52.0,59.0,21.0,73.0
82,47.0,65.0,18.0,80.0
83,43.0,70.0,23.0,75.0
84,50.0,75.0,27.0,70.0
85,56.0,70.0,22.0,77.0
86,62.0,66.0,17.0,84.0
87,58.0,61.0,13.0,80.0
88,54.0,67.0,18.0,86.0
89,50.0,72.0,23.0,81.0
90,45.0,68.0,28.0,87.0
91,41.0,73.0,22.0,92.0
92,46.0,79.0,18.0,96.0
93,52.0,75.0,14.0,100.0
94,57.0,71.0,19.0,96.0
95,62.0,67.0,15.0,100.0
96,58.0,63.0,21.0,100.0
97,53.0,68.0,26.0,100.0
98,49.0,73.0,22.0,97.0
99,45.0,78.0,17.0,100.0
100,41.0,74.0,23.0,100.0
101,46.0,69.0,29.0,100.0
102,42.0,74.0,24.0,100.0
103,47.0,79.0,20.0,100.0
104,53.0,75.0,16.0,100.0
105,59.0,71.0,21.0,100.0
106,54.0,67.0,27.0,99.0
107,50.0,72.0,23.0,100.0
108,46.0,77.0,18.0,100.0
109,42.0,82.0,13.0,100.0
110,48.0,78.0,19.0,99.0
111,54.0,73.0,14.0,100.0
112,50.0,69.0,20.0,100.0
113,55.0,65.0,16.0,96.0
114,61.0,61.0,21.0,100.0
115,66.0,67.0,17.0,97.0
116,62.0,72.0,23.0,93.0
117,68.0,78.0,28.0,98.0
118,73.0,73.0,24.0,94.0
119,69.0,69.0,20.0,99.0
120,75.0,64.0,16.0,100.0
121,80.0,60.0,21.0,100.0
122,76.0,56.0,17.0,100.0
123,81.0,52.0,13.0,100.0
124,77.0,58.0,18.0,95.0
125,72.0,64.0,14.0,100.0
126,68.0,70.0,20.0,96.0
127,63.0,76.0,25.0,91.0
128,59.0,72.0,21.0,86.0
129,55.0,68.0,27.0,91.0
130,51.0,73.0,23.0,87.0
131,46.0,79.0,19.0,92.0
132,42.0,84.0,15.0,97.0
133,47.0,80.0,20.0,92.0
134,43.0,76.0,26.0,87.0
135,49.0,72.0,22.0,83.0
136,44.0,77.0,28.0,88.0
137,50.0,83.0,24.0,93.0
138,46.0,78.0,20.0,89.0
139,52.0,73.0,16.0,84.0
140,57.0,69.0,21.0,89.0
141,53.0,65.0,17.0,85.0
142,58.0,61.0,13.0,90.0
143,64.0,57.0,19.0,85.0
144,69.0,53.0,15.0,91.0
145,65.0,59.0,20.0,86.0
146,70.0,64.0,16.0,81.0
147,66.0,70.0,12.0,76.0
148,71.0,75.0,17.0,81.0
149,77.0,70.0,13.0,86.0

